channel_id,category
UCq87gEKGdiKFQ-ImZnQEmFQ,Game
UChHqo0tC5D8Mu0_U8_Yi8SQ,Game
UCEIMvzf3R9d3_2A3IAajvHg,Game
UCtBWXrQqfd5EaVbhezbxopg,Game
UCLLuaTElO1eRGOo2qc_Rdsw,Game
UCRbyjyOWHO9W7wyLSlLeeIg,Game
UCPVhF5M9T2LSfWcEpsVOFZA,Game
UCCC7cPlaraQtAVGph5hU4Xw,Game
UCu451KxefbOf2KPJd0M7iwA,Game
UCJtMfSSPKuW22GXfkaN7DOA,Game
UCmZA7XRRzmxhM4jPltZX1Zg,Game
UC8tryhd0liC1hIkYmir7k2w,Game
UCj4PjeVMnNTHIR5EeoNKPAw,Game
UC8mp5Lz8gvctAxq0-b_UhIg,Game
UCdn5BQ06XqgXoAxIhbqw5Rg,Game
UCg94A9An85nXCFSguNx3gYA,Game
UC0xTE0Ofe4A65ru3aFZ1nyg,Game
UCyFN8ul17Ov5oDr_lsjZODg,Game
UCWcEgYIOqq1BVr4Qm1sPuVg,Game
UCvmTVIw2ZCJg49XHR0OoSAg,Game
UC0cpUGlqr4YlEmRG7543dEg,Game
UCXCknrYDQ2VlVxBnRWBnEFg,Game
UCKRZPvdUvIm1PsQ1nla2uCg,Game
UCZfvE2expuzcZFiXmvCp_Yw,Game
UCgXyMl3Y2kRHkK08F_Ct8Pg,Game
UC3C3YOGFjn7Pq3lOCeUFHfg,Game
UCSF2vv7HFeQHrv1DinGLBLw,Game
UChn5TjkeEqd-JxzizMVSkOw,Game
UCsg-YqdqQ-KFF0LNk23BY4A,Game
UCia0Mw96B-yNYRka1J_mAsQ,Game
UCX1xppLvuj03ubLio8jslyA,Game
UCKdvGNtzpYqXwoh8niogRcQ,Game
UCx1nAvtVDIsaGmCMSe8ofsQ,Game
UCspv01oxUFf_MTSipURRhkA,Game
UCHyYUv384bv9eMOC1UoG9PQ,Game
UCu3Mp1ZimtNvyA-bcfo9VrQ,Game
UCHrL96ET2wzYMzuWBtAgCmA,Game
UCMJiPpN_09F0aWpQrgbc_qg,Game
UCGjV4bsC43On-YuiLZcfL0w,Game
UCSFCh5NL4qXrAy9u-u2lX3g,Game
UCdVnOfmhI0sNGdaH5yldztg,Game
UC9Lx-zRFGfpuls27tNAOIqA,Game
UCjJmYy279ehSYSwR1A3fXtA,Game
UCuxtodWhr9JKsghxxdRO2sw,Game
UCM3yhFc0-fBFuvqx1Vg2YNQ,Game
UCPZkdkj_rUi_3YQ3rFTbXlw,Game
UCrUfBW0jCq2HNYCpvcW8mVw,Game
UCENoC6MLc4pL-vehJyzSWmg,Game
UClZbsg62vR15B9unTny4bVw,Game
UCHxqtnCwn_NEm4aEIU-O85A,Game
UCLFiFaxDZc3FmdU8fAJNKYw,Game
UCFkncXKwLRtA2MFdXOv34yQ,Game
UCZFO75r8iYNI2XPmoFEG6ig,Game
UCTW2tw0Mhho72MojB1L48IQ,Game
UCSdiXqnTXy6hukTURUIZbIg,Game
UCvaTdHTWBGv3MKj3KVqJVCw,Game
UCLiQ--EXgzUV03q5jKQYWcw,Game
UC-6qA7JkgQtILNSDMRiR6Tw,Game
UCSxwU949ET-h5aRYYKlVTfg,Game
UCglQWY_cZKJI4m3CxjNrUxg,Game
UCh7bThzNArch6TgoHB1HVhA,Game
UC1DCedRgGHBdm81E1llLhOQ,Game
UCzXjPL7zo0bxhOYDxLJ9YEg,Game
UCu0HaR1uI4R8gbdHnd5GWAQ,Game
UCO06KZjWOe6b1tXrgzzakZA,Game
UC_LS7mBxC0zL9Ot0gaU26Lw,Game
UCSSKXEFwXiEcUjZKYGSvyPg,Game
UClNdVSK1uy2xFHTaXZYXopw,Game
UCSdExItCszcnIp-roT7b0kw,Game
UCILZFnKZJksR7zwhZbAB4vw,Game
UCPVr7clenPjpD7WNsSI3UBQ,Game
UCpcGAVuBSJEFs48MBxhf9eg,Game
UCtTzAeUzuCKihDS1BECX9QA,Game
UCtmXnwe5EYXUc52pq-S2RAg,Game
UCoztvTULBYd3WmStqYeoHcA,Game
UC-1uvY3U4sMSGi52IcT_fWQ,Game
UCPJCP_fon2mOMfibbBPUOYw,Game
UCTA_YZYIN6XJHY860Esn8Fg,Game
UCjg5-lUiUzdmzzBRY9Xqrhw,Game
UCVBcH5dyQZNwVnF26zIJ4FQ,Game
UC_4tXjqecqox5Uc05ncxpxg,Game
UC5iLPoX7jHrxhjg76eGMCLQ,Game
UC6tZGCKIrKe4OYREY8ytQXQ,Game
UCe0_ecxZmAQPRxRa0gM3KvQ,Game
UCYyhPzwpGe-CvZgfPmgGgBg,Game
UC2j4lymo8Ce_1RXMeo4afcQ,Game
UC3REAzTrfFQmFmkx5c_UfuA,Game
UC1l8jsqYmIj1bjCzN43UPfA,Game
UCP1PN9Um8z8Li-20Yauqa6A,Game
UCY_qQE1SSMciTm6qG4pgkfg,Game
UCX2fYWaYhi7J1yMaK0M8Amw,Game
UCQhWJT4soYiiMzLF31Ik-4A,Game
UCwAJec7nCDBLu1gJOzDNFKg,Game
UCiJvvLq45i4sC4-dTiV88SQ,Game
UCy9GuRXGTm8TliQ-OJ7KwzA,Game
UCIYaPLvP0y2LbSYk7QbRSmQ,Game
UCHazKLThRbMyMFu2bVAKhng,Game
UCIZzHNbzlIskx3TxGznRyYg,Game
UCEnkd5D-53MDGpgpiQRbUqw,Game
UCSkLRGGIGKOtinamhcy_42g,Game
UChUV8PK-q_GHWfOVDYjajMg,Politics
UC07a-1FKy4sJ4ZZTpp2RN5g,Politics
UC77ZfLyTydI70dfjDZONsIA,Politics
UC7dXPammhcS6lrPzgq7WAPQ,Politics
